artists,name,danceability,energy,popularity,year
"['Assaf', 'Cassandra Grey']",All Of You,0.6729999999999999,0.748,9,2019
['The Casino Royal'],Old Toy,0.606,0.526,0,2019
"['Armin van Buuren', 'HALIENE']",Song I Sing,0.625,0.693,15,2019
['Graham Bell'],The Night King (Mixed),0.365,0.94,23,2019
['The Casino Royal'],Deluxe Casino Royal,0.5760000000000001,0.72,0,2019
['Pink Floyd'],Yet Another Movie - 2019 remix [Live],0.161,0.579,29,2019
['Cosmic Gate'],Come With Me,0.528,0.8690000000000001,18,2019
"['Space Corps', 'Karra']",Gravity,0.625,0.838,11,2019
"['NWYR', 'Andrew Rayel']",The Melody,0.512,0.925,8,2019
"['Ruben de Ronde', 'Elevven', 'Lara']",Shadow Of Us (Electronic Family 2019 Anthem),0.595,0.7809999999999999,5,2019
"['Armin van Buuren', 'Vini Vici', 'Hilight Tribe']",Great Spirit,0.5920000000000001,0.9109999999999999,17,2019
['Pink Floyd'],"Another Brick In the Wall, Part 2 - 2019 remix [Live]",0.395,0.7659999999999999,34,2019
"['Ilan Bluestone', 'EL Waves']",We Are The Universe,0.565,0.7070000000000001,13,2019
['Gareth Emery'],Laserface 03 (Leaving You) [Mixed],0.345,0.838,25,2019
"['Armin van Buuren', 'Shapov']",La RÃ©sistance De L'Amour,0.544,0.9740000000000001,17,2019
['Cosmic Gate'],The Wave 2.0,0.578,0.919,11,2019
"['Lory DJ', 'D@n Deejay']",Last Christmas (feat. Guax) - Radio Mix,0.71,0.792,4,2019
['Pink Floyd'],Terminal Frost - 2019 remix [Live],0.344,0.48,28,2019
"['Cosmic Gate', 'ForÃªt']",Need To Feel Loved,0.556,0.825,18,2019
['FUTURECODE'],The Connection,0.469,0.938,10,2019
"['Ciaran McAuley', 'Clare Stagg']",All I Want,0.42,0.945,22,2019
"['Armin van Buuren', 'Luke Bond', 'Karra']",Revolution (Mixed),0.51,0.912,23,2019
['Ben Gold'],The City Sleeps Tonight,0.434,0.995,20,2019
"['Andrew Rayel', 'HALIENE']",Take All Of Me,0.414,0.833,17,2019
['Kreepa'],Oh No,0.541,0.527,72,2019
"['NWYR', 'Andrew Rayel']",The Melody (Mixed),0.654,0.799,23,2019
['Sean Tyas'],Chrome,0.38299999999999995,0.991,11,2019
['Andrew Bayer'],Parallels Pt. 2,0.502,0.8740000000000001,8,2019
"['Above & Beyond', 'ZoÃ« Johnston']",There's Only You (Mixed) - Above & Beyond Club Mix,0.5820000000000001,0.919,23,2019
"['Luke Bond', 'Tyler Graves']",Left Of Us (Mixed),0.42,0.924,24,2019
"['Andrew Rayel', 'Graham Bell', 'Blastoyz']",Tambores (Mixed) - Blastoyz Remix,0.606,0.98,20,2019
